Entry	Protein names	Length	Helix	Beta strand	Interacts with
P03956	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]	469	HELIX 33..41; /evidence="ECO:0007829|PDB:1SU3"; HELIX 59..70; /evidence="ECO:0007829|PDB:1SU3"; HELIX 81..87; /evidence="ECO:0007829|PDB:1SU3"; HELIX 127..142; /evidence="ECO:0007829|PDB:1HFC"; HELIX 212..223; /evidence="ECO:0007829|PDB:1HFC"; HELIX 250..260; /evidence="ECO:0007829|PDB:1HFC"; HELIX 317..319; /evidence="ECO:0007829|PDB:1SU3"; HELIX 335..337; /evidence="ECO:0007829|PDB:1SU3"; HELIX 364..368; /evidence="ECO:0007829|PDB:1SU3"; HELIX 415..418; /evidence="ECO:0007829|PDB:1SU3"	STRAND 103..106; /evidence="ECO:0007829|PDB:1AYK"; STRAND 112..118; /evidence="ECO:0007829|PDB:1HFC"; STRAND 123..125; /evidence="ECO:0007829|PDB:3SHI"; STRAND 144..146; /evidence="ECO:0007829|PDB:2J0T"; STRAND 148..151; /evidence="ECO:0007829|PDB:1HFC"; STRAND 153..155; /evidence="ECO:0007829|PDB:1HFC"; STRAND 158..164; /evidence="ECO:0007829|PDB:1HFC"; STRAND 169..171; /evidence="ECO:0007829|PDB:1HFC"; STRAND 176..179; /evidence="ECO:0007829|PDB:1HFC"; STRAND 182..184; /evidence="ECO:0007829|PDB:1HFC"; STRAND 187..189; /evidence="ECO:0007829|PDB:1HFC"; STRAND 195..198; /evidence="ECO:0007829|PDB:1HFC"; STRAND 204..209; /evidence="ECO:0007829|PDB:1HFC"; STRAND 237..239; /evidence="ECO:0007829|PDB:966C"; STRAND 285..290; /evidence="ECO:0007829|PDB:1SU3"; STRAND 293..298; /evidence="ECO:0007829|PDB:1SU3"; STRAND 301..304; /evidence="ECO:0007829|PDB:1SU3"; STRAND 309..311; /evidence="ECO:0007829|PDB:1SU3"; STRAND 313..316; /evidence="ECO:0007829|PDB:1SU3"; STRAND 330..334; /evidence="ECO:0007829|PDB:1SU3"; STRAND 339..344; /evidence="ECO:0007829|PDB:1SU3"; STRAND 347..352; /evidence="ECO:0007829|PDB:1SU3"; STRAND 361..363; /evidence="ECO:0007829|PDB:1SU3"; STRAND 379..382; /evidence="ECO:0007829|PDB:1SU3"; STRAND 388..393; /evidence="ECO:0007829|PDB:1SU3"; STRAND 396..401; /evidence="ECO:0007829|PDB:1SU3"; STRAND 412..414; /evidence="ECO:0007829|PDB:1SU3"; STRAND 427..432; /evidence="ECO:0007829|PDB:1SU3"; STRAND 435..440; /evidence="ECO:0007829|PDB:1SU3"; STRAND 443..448; /evidence="ECO:0007829|PDB:1SU3"; STRAND 453..459; /evidence="ECO:0007829|PDB:1SU3"	
P03999	Short-wave-sensitive opsin 1 (Blue cone photoreceptor pigment) (Blue-sensitive opsin) (BOP)	345			Q9GZY8-5
P04062	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	536	HELIX 126..133; /evidence="ECO:0007829|PDB:8AX3"; HELIX 137..148; /evidence="ECO:0007829|PDB:8AX3"; HELIX 190..193; /evidence="ECO:0007829|PDB:8AX3"; HELIX 196..206; /evidence="ECO:0007829|PDB:8AX3"; HELIX 222..224; /evidence="ECO:0007829|PDB:8AX3"; HELIX 243..261; /evidence="ECO:0007829|PDB:8AX3"; HELIX 275..279; /evidence="ECO:0007829|PDB:8AX3"; HELIX 292..301; /evidence="ECO:0007829|PDB:8AX3"; HELIX 303..308; /evidence="ECO:0007829|PDB:8AX3"; HELIX 324..326; /evidence="ECO:0007829|PDB:8AX3"; HELIX 329..335; /evidence="ECO:0007829|PDB:8AX3"; HELIX 338..341; /evidence="ECO:0007829|PDB:8AX3"; HELIX 354..356; /evidence="ECO:0007829|PDB:8AX3"; HELIX 363..369; /evidence="ECO:0007829|PDB:8AX3"; HELIX 396..411; /evidence="ECO:0007829|PDB:8AX3"; HELIX 445..447; /evidence="ECO:0007829|PDB:8AX3"; HELIX 454..463; /evidence="ECO:0007829|PDB:8AX3"	STRAND 44..46; /evidence="ECO:0007829|PDB:6Q1P"; STRAND 49..52; /evidence="ECO:0007829|PDB:8AX3"; STRAND 54..57; /evidence="ECO:0007829|PDB:8AX3"; STRAND 75..82; /evidence="ECO:0007829|PDB:8AX3"; STRAND 88..94; /evidence="ECO:0007829|PDB:8AX3"; STRAND 96..98; /evidence="ECO:0007829|PDB:6Q6N"; STRAND 102..116; /evidence="ECO:0007829|PDB:8AX3"; STRAND 119..123; /evidence="ECO:0007829|PDB:8AX3"; STRAND 157..163; /evidence="ECO:0007829|PDB:8AX3"; STRAND 166..170; /evidence="ECO:0007829|PDB:6Q6N"; STRAND 177..179; /evidence="ECO:0007829|PDB:6Q6K"; STRAND 212..218; /evidence="ECO:0007829|PDB:8AX3"; STRAND 225..227; /evidence="ECO:0007829|PDB:6Q1N"; STRAND 228..233; /evidence="ECO:0007829|PDB:8AX3"; STRAND 236..238; /evidence="ECO:0007829|PDB:8AX3"; STRAND 267..271; /evidence="ECO:0007829|PDB:8AX3"; STRAND 284..286; /evidence="ECO:0007829|PDB:3GXF"; STRAND 315..323; /evidence="ECO:0007829|PDB:8AX3"; STRAND 346..350; /evidence="ECO:0007829|PDB:8AX3"; STRAND 373..379; /evidence="ECO:0007829|PDB:8AX3"; STRAND 385..388; /evidence="ECO:0007829|PDB:6MOZ"; STRAND 414..422; /evidence="ECO:0007829|PDB:8AX3"; STRAND 426..428; /evidence="ECO:0007829|PDB:3KEH"; STRAND 432..434; /evidence="ECO:0007829|PDB:6Q1N"; STRAND 440..444; /evidence="ECO:0007829|PDB:8AX3"; STRAND 449..452; /evidence="ECO:0007829|PDB:8AX3"; STRAND 471..479; /evidence="ECO:0007829|PDB:8AX3"; STRAND 482..489; /evidence="ECO:0007829|PDB:8AX3"; STRAND 495..501; /evidence="ECO:0007829|PDB:8AX3"; STRAND 503..505; /evidence="ECO:0007829|PDB:8AX3"; STRAND 507..513; /evidence="ECO:0007829|PDB:8AX3"; STRAND 517..523; /evidence="ECO:0007829|PDB:8AX3"; STRAND 527..533; /evidence="ECO:0007829|PDB:8AX3"	P17987
P04080	Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B)	98	HELIX 14..31; /evidence="ECO:0007829|PDB:2OCT"	STRAND 39..58; /evidence="ECO:0007829|PDB:2OCT"; STRAND 60..62; /evidence="ECO:0007829|PDB:1STF"; STRAND 64..74; /evidence="ECO:0007829|PDB:2OCT"; STRAND 80..89; /evidence="ECO:0007829|PDB:2OCT"	
P04090	Prorelaxin H2 [Cleaved into: Relaxin B chain; Relaxin A chain]	185	HELIX 27..29; /evidence="ECO:0007829|PDB:6RLX"; HELIX 36..49; /evidence="ECO:0007829|PDB:6RLX"; HELIX 163..173; /evidence="ECO:0007829|PDB:6RLX"; HELIX 178..182; /evidence="ECO:0007829|PDB:6RLX"		
P04155	Trefoil factor 1 (Breast cancer estrogen-inducible protein) (PNR-2) (Polypeptide P1.A) (hP1.A) (Protein pS2)	84	HELIX 35..37; /evidence="ECO:0007829|PDB:6V1D"; HELIX 48..53; /evidence="ECO:0007829|PDB:6V1D"	STRAND 29..31; /evidence="ECO:0007829|PDB:6V1D"; STRAND 40..42; /evidence="ECO:0007829|PDB:1HI7"; STRAND 61..65; /evidence="ECO:0007829|PDB:1HI7"; STRAND 67..69; /evidence="ECO:0007829|PDB:6V1D"; STRAND 72..74; /evidence="ECO:0007829|PDB:1HI7"; STRAND 79..82; /evidence="ECO:0007829|PDB:1HI7"	O00481; Q6UX41; Q6UXZ3; Q96PJ5; Q92508; Q96EQ0; Q9NYZ4; Q9UMX0; P62760; P15622-3
P04179	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	222	HELIX 44..52; /evidence="ECO:0007829|PDB:1PL4"; HELIX 54..74; /evidence="ECO:0007829|PDB:1PL4"; HELIX 78..83; /evidence="ECO:0007829|PDB:1PL4"; HELIX 85..103; /evidence="ECO:0007829|PDB:1PL4"; HELIX 115..125; /evidence="ECO:0007829|PDB:1PL4"; HELIX 128..140; /evidence="ECO:0007829|PDB:1PL4"; HELIX 170..174; /evidence="ECO:0007829|PDB:1PL4"; HELIX 186..188; /evidence="ECO:0007829|PDB:1PL4"; HELIX 190..193; /evidence="ECO:0007829|PDB:1PL4"; HELIX 197..204; /evidence="ECO:0007829|PDB:1PL4"; HELIX 205..207; /evidence="ECO:0007829|PDB:1PL4"; HELIX 210..219; /evidence="ECO:0007829|PDB:1PL4"	STRAND 144..153; /evidence="ECO:0007829|PDB:1PL4"; STRAND 158..165; /evidence="ECO:0007829|PDB:1PL4"; STRAND 177..183; /evidence="ECO:0007829|PDB:1PL4"	Q8NHQ1; P04179; P38340
P04180	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	440	HELIX 88..91; /evidence="ECO:0007829|PDB:5BV7"; HELIX 95..103; /evidence="ECO:0007829|PDB:5BV7"; HELIX 131..134; /evidence="ECO:0007829|PDB:5BV7"; HELIX 146..153; /evidence="ECO:0007829|PDB:5BV7"; HELIX 174..176; /evidence="ECO:0007829|PDB:5BV7"; HELIX 178..195; /evidence="ECO:0007829|PDB:5BV7"; HELIX 206..217; /evidence="ECO:0007829|PDB:5BV7"; HELIX 220..226; /evidence="ECO:0007829|PDB:5BV7"; HELIX 242..248; /evidence="ECO:0007829|PDB:5BV7"; HELIX 274..276; /evidence="ECO:0007829|PDB:5BV7"; HELIX 299..301; /evidence="ECO:0007829|PDB:5TXF"; HELIX 302..308; /evidence="ECO:0007829|PDB:5BV7"; HELIX 312..321; /evidence="ECO:0007829|PDB:5BV7"; HELIX 374..377; /evidence="ECO:0007829|PDB:5BV7"; HELIX 378..383; /evidence="ECO:0007829|PDB:5BV7"; HELIX 401..403; /evidence="ECO:0007829|PDB:5BV7"; HELIX 408..419; /evidence="ECO:0007829|PDB:5BV7"	STRAND 49..52; /evidence="ECO:0007829|PDB:5BV7"; STRAND 60..63; /evidence="ECO:0007829|PDB:5BV7"; STRAND 82..86; /evidence="ECO:0007829|PDB:5BV7"; STRAND 105..107; /evidence="ECO:0007829|PDB:5BV7"; STRAND 114..117; /evidence="ECO:0007829|PDB:5BV7"; STRAND 121..123; /evidence="ECO:0007829|PDB:5BV7"; STRAND 135..137; /evidence="ECO:0007829|PDB:5BV7"; STRAND 142..145; /evidence="ECO:0007829|PDB:5BV7"; STRAND 163..165; /evidence="ECO:0007829|PDB:5BV7"; STRAND 199..204; /evidence="ECO:0007829|PDB:5BV7"; STRAND 227..234; /evidence="ECO:0007829|PDB:5BV7"; STRAND 258..260; /evidence="ECO:0007829|PDB:5TXF"; STRAND 270..272; /evidence="ECO:0007829|PDB:5BV7"; STRAND 288..291; /evidence="ECO:0007829|PDB:5BV7"; STRAND 296..298; /evidence="ECO:0007829|PDB:5BV7"; STRAND 335..350; /evidence="ECO:0007829|PDB:5BV7"; STRAND 361..373; /evidence="ECO:0007829|PDB:5BV7"; STRAND 386..389; /evidence="ECO:0007829|PDB:5BV7"; STRAND 391..397; /evidence="ECO:0007829|PDB:5BV7"	P02647; O76024
P04198	N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37)	464	HELIX 69..71; /evidence="ECO:0007829|PDB:5G1X"; HELIX 76..88; /evidence="ECO:0007829|PDB:5G1X"		P31749; O14965; Q8N726; Q969H0; P61244; Q13287; Q96EB6; O43791; Q13105
P04201	Proto-oncogene Mas	325			Q12959; P78352
P04275	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	2813	HELIX 152..154; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 184..189; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 224..229; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 232..235; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 244..256; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 265..278; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 345..347; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 514..516; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 532..535; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 546..552; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 569..572; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 574..576; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 577..584; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 585..588; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 590..592; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 593..596; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 602..614; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 618..636; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 669..673; /evidence="ECO:0007829|PDB:7ZWH"; HELIX 786..788; /evidence="ECO:0007829|PDB:6N29"; HELIX 824..826; /evidence="ECO:0007829|PDB:6N29"; HELIX 918..920; /evidence="ECO:0007829|PDB:7KWO"; HELIX 986..988; /evidence="ECO:0007829|PDB:6N29"; HELIX 1003..1005; /evidence="ECO:0007829|PDB:6N29"; HELIX 1018..1023; /evidence="ECO:0007829|PDB:6N29"; HELIX 1044..1046; /evidence="ECO:0007829|PDB:6N29"; HELIX 1050..1060; /evidence="ECO:0007829|PDB:6N29"; HELIX 1061..1064; /evidence="ECO:0007829|PDB:6N29"; HELIX 1066..1074; /evidence="ECO:0007829|PDB:6N29"; HELIX 1078..1088; /evidence="ECO:0007829|PDB:6N29"; HELIX 1098..1113; /evidence="ECO:0007829|PDB:6N29"; HELIX 1136..1138; /evidence="ECO:0007829|PDB:6N29"; HELIX 1193..1195; /evidence="ECO:0007829|PDB:6N29"; HELIX 1290..1305; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1337..1345; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1357..1366; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1391..1393; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1394..1396; /evidence="ECO:0007829|PDB:1U0N"; HELIX 1397..1406; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1422..1431; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1433..1435; /evidence="ECO:0007829|PDB:4C29"; HELIX 1443..1445; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1446..1460; /evidence="ECO:0007829|PDB:5BV8"; HELIX 1511..1527; /evidence="ECO:0007829|PDB:3ZQK"; HELIX 1558..1567; /evidence="ECO:0007829|PDB:3ZQK"; HELIX 1578..1587; /evidence="ECO:0007829|PDB:3ZQK"; HELIX 1592..1594; /evidence="ECO:0007829|PDB:3ZQK"; HELIX 1595..1599; /evidence="ECO:0007829|PDB:3GXB"; HELIX 1636..1643; /evidence="ECO:0007829|PDB:3ZQK"; HELIX 1657..1670; /evidence="ECO:0007829|PDB:3ZQK"; HELIX 1704..1720; /evidence="ECO:0007829|PDB:1ATZ"; HELIX 1751..1759; /evidence="ECO:0007829|PDB:1ATZ"; HELIX 1770..1782; /evidence="ECO:0007829|PDB:1ATZ"; HELIX 1784..1786; /evidence="ECO:0007829|PDB:2ADF"; HELIX 1809..1817; /evidence="ECO:0007829|PDB:1ATZ"; HELIX 1833..1839; /evidence="ECO:0007829|PDB:1ATZ"; HELIX 1841..1847; /evidence="ECO:0007829|PDB:1ATZ"; HELIX 1856..1862; /evidence="ECO:0007829|PDB:1ATZ"; HELIX 1866..1870; /evidence="ECO:0007829|PDB:1ATZ"	STRAND 42..44; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 50..52; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 59..62; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 64..67; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 69..77; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 80..88; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 92..95; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 98..100; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 103..108; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 119..131; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 136..140; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 287..289; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 296..298; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 302..305; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 311..313; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 326..328; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 333..337; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 339..344; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 350..352; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 355..357; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 410..413; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 426..431; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 439..444; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 449..451; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 486..488; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 495..497; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 504..506; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 554..556; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 615..617; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 665..667; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 697..699; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 722..724; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 727..732; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 735..739; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 769..771; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 772..774; /evidence="ECO:0007829|PDB:6N29"; STRAND 778..781; /evidence="ECO:0007829|PDB:7KWO"; STRAND 792..794; /evidence="ECO:0007829|PDB:6N29"; STRAND 795..797; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 807..809; /evidence="ECO:0007829|PDB:6N29"; STRAND 814..816; /evidence="ECO:0007829|PDB:6N29"; STRAND 818..823; /evidence="ECO:0007829|PDB:6N29"; STRAND 829..831; /evidence="ECO:0007829|PDB:6N29"; STRAND 834..836; /evidence="ECO:0007829|PDB:6N29"; STRAND 841..844; /evidence="ECO:0007829|PDB:6N29"; STRAND 847..852; /evidence="ECO:0007829|PDB:6N29"; STRAND 855..858; /evidence="ECO:0007829|PDB:6N29"; STRAND 865..870; /evidence="ECO:0007829|PDB:6N29"; STRAND 874..876; /evidence="ECO:0007829|PDB:6N29"; STRAND 882..884; /evidence="ECO:0007829|PDB:6N29"; STRAND 889..896; /evidence="ECO:0007829|PDB:6N29"; STRAND 898..900; /evidence="ECO:0007829|PDB:6N29"; STRAND 905..913; /evidence="ECO:0007829|PDB:6N29"; STRAND 915..917; /evidence="ECO:0007829|PDB:7KWO"; STRAND 922..929; /evidence="ECO:0007829|PDB:6N29"; STRAND 932..937; /evidence="ECO:0007829|PDB:6N29"; STRAND 940..945; /evidence="ECO:0007829|PDB:6N29"; STRAND 953..958; /evidence="ECO:0007829|PDB:6N29"; STRAND 961..974; /evidence="ECO:0007829|PDB:6N29"; STRAND 976..978; /evidence="ECO:0007829|PDB:6N29"; STRAND 980..984; /evidence="ECO:0007829|PDB:6N29"; STRAND 1029..1031; /evidence="ECO:0007829|PDB:7KWO"; STRAND 1089..1091; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 1094..1096; /evidence="ECO:0007829|PDB:6N29"; STRAND 1123..1126; /evidence="ECO:0007829|PDB:6N29"; STRAND 1143..1153; /evidence="ECO:0007829|PDB:6N29"; STRAND 1156..1158; /evidence="ECO:0007829|PDB:7KWO"; STRAND 1166..1176; /evidence="ECO:0007829|PDB:6N29"; STRAND 1179..1181; /evidence="ECO:0007829|PDB:7ZWH"; STRAND 1182..1184; /evidence="ECO:0007829|PDB:6N29"; STRAND 1189..1191; /evidence="ECO:0007829|PDB:6N29"; STRAND 1198..1201; /evidence="ECO:0007829|PDB:6N29"; STRAND 1204..1207; /evidence="ECO:0007829|PDB:6N29"; STRAND 1211..1215; /evidence="ECO:0007829|PDB:6N29"; STRAND 1223..1230; /evidence="ECO:0007829|PDB:6N29"; STRAND 1232..1236; /evidence="ECO:0007829|PDB:6N29"; STRAND 1267..1269; /evidence="ECO:0007829|PDB:5BV8"; STRAND 1276..1283; /evidence="ECO:0007829|PDB:5BV8"; STRAND 1285..1288; /evidence="ECO:0007829|PDB:4C2B"; STRAND 1313..1329; /evidence="ECO:0007829|PDB:5BV8"; STRAND 1369..1371; /evidence="ECO:0007829|PDB:5BV8"; STRAND 1377..1385; /evidence="ECO:0007829|PDB:5BV8"; STRAND 1409..1417; /evidence="ECO:0007829|PDB:5BV8"; STRAND 1438..1442; /evidence="ECO:0007829|PDB:5BV8"; STRAND 1498..1504; /evidence="ECO:0007829|PDB:3ZQK"; STRAND 1534..1550; /evidence="ECO:0007829|PDB:3ZQK"; STRAND 1602..1608; /evidence="ECO:0007829|PDB:3ZQK"; STRAND 1623..1631; /evidence="ECO:0007829|PDB:3ZQK"; STRAND 1649..1652; /evidence="ECO:0007829|PDB:3ZQK"; STRAND 1690..1697; /evidence="ECO:0007829|PDB:1ATZ"; STRAND 1699..1702; /evidence="ECO:0007829|PDB:1ATZ"; STRAND 1727..1743; /evidence="ECO:0007829|PDB:1ATZ"; STRAND 1745..1747; /evidence="ECO:0007829|PDB:4DMU"; STRAND 1792..1800; /evidence="ECO:0007829|PDB:1ATZ"; STRAND 1820..1831; /evidence="ECO:0007829|PDB:1ATZ"; STRAND 1849..1853; /evidence="ECO:0007829|PDB:1ATZ"; STRAND 1863..1865; /evidence="ECO:0007829|PDB:2ADF"; STRAND 2497..2503; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2511..2516; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2520..2522; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2524..2527; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2529..2536; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2539..2546; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2562..2565; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2568..2571; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2574..2577; /evidence="ECO:0007829|PDB:6FWN"; STRAND 2648..2653; /evidence="ECO:0007829|PDB:7P4N"; STRAND 2657..2661; /evidence="ECO:0007829|PDB:7P4N"; STRAND 2669..2678; /evidence="ECO:0007829|PDB:7P4N"; STRAND 2684..2689; /evidence="ECO:0007829|PDB:7P4N"; STRAND 2698..2702; /evidence="ECO:0007829|PDB:7P4N"; STRAND 2708..2710; /evidence="ECO:0007829|PDB:7P4N"; STRAND 2717..2719; /evidence="ECO:0007829|PDB:7P4N"; STRAND 2728..2732; /evidence="ECO:0007829|PDB:4NT5"; STRAND 2739..2743; /evidence="ECO:0007829|PDB:4NT5"; STRAND 2745..2749; /evidence="ECO:0007829|PDB:4NT5"; STRAND 2756..2761; /evidence="ECO:0007829|PDB:4NT5"; STRAND 2766..2787; /evidence="ECO:0007829|PDB:4NT5"; STRAND 2793..2801; /evidence="ECO:0007829|PDB:4NT5"; STRAND 2804..2809; /evidence="ECO:0007829|PDB:4NT5"	Q76LX8; P00451; PRO_0000002967 [P00451]; P07359; P04275; Q6XD76; Q99944; Q6ZQX7-4; Q12888
P04406	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	335	HELIX 13..25; /evidence="ECO:0007829|PDB:6YND"; HELIX 40..48; /evidence="ECO:0007829|PDB:6YND"; HELIX 82..84; /evidence="ECO:0007829|PDB:6YND"; HELIX 88..90; /evidence="ECO:0007829|PDB:6YND"; HELIX 105..108; /evidence="ECO:0007829|PDB:6YND"; HELIX 110..113; /evidence="ECO:0007829|PDB:6YND"; HELIX 137..139; /evidence="ECO:0007829|PDB:6YND"; HELIX 152..168; /evidence="ECO:0007829|PDB:6YND"; HELIX 196..199; /evidence="ECO:0007829|PDB:6YND"; HELIX 213..220; /evidence="ECO:0007829|PDB:6YND"; HELIX 222..224; /evidence="ECO:0007829|PDB:6YND"; HELIX 255..267; /evidence="ECO:0007829|PDB:6YND"; HELIX 283..286; /evidence="ECO:0007829|PDB:6YND"; HELIX 318..333; /evidence="ECO:0007829|PDB:6YND"	STRAND 5..9; /evidence="ECO:0007829|PDB:6YND"; STRAND 27..34; /evidence="ECO:0007829|PDB:6YND"; STRAND 36..38; /evidence="ECO:0007829|PDB:6YND"; STRAND 60..63; /evidence="ECO:0007829|PDB:6YND"; STRAND 66..69; /evidence="ECO:0007829|PDB:6YND"; STRAND 72..77; /evidence="ECO:0007829|PDB:6YND"; STRAND 94..97; /evidence="ECO:0007829|PDB:6YND"; STRAND 99..101; /evidence="ECO:0007829|PDB:6YND"; STRAND 117..123; /evidence="ECO:0007829|PDB:6YND"; STRAND 126..128; /evidence="ECO:0007829|PDB:6YND"; STRAND 146..148; /evidence="ECO:0007829|PDB:6YND"; STRAND 170..179; /evidence="ECO:0007829|PDB:6YND"; STRAND 185..189; /evidence="ECO:0007829|PDB:6YND"; STRAND 207..210; /evidence="ECO:0007829|PDB:6YND"; STRAND 227..234; /evidence="ECO:0007829|PDB:6YND"; STRAND 241..251; /evidence="ECO:0007829|PDB:6YND"; STRAND 274..277; /evidence="ECO:0007829|PDB:6YND"; STRAND 292..296; /evidence="ECO:0007829|PDB:6YND"; STRAND 301..304; /evidence="ECO:0007829|PDB:6YND"; STRAND 307..314; /evidence="ECO:0007829|PDB:6YND"	Q6UY14-3; Q9UIJ7; P05067; Q9UQM7; Q14194; P35222; Q9BPW9-4; P00533; O00471; O75344; P06241; P04406; O14556; Q8NEA9; P42858; Q92993-2; P42695; P35228; P12004; P00558; P48147; P17612; Q8WUY3; Q9UHX1-2; P15927; P05109; Q96GZ6; P00441; Q9BSI4; P10599
